"Event Category","Custom Event Properties"
"Order Complete (App)","{""Time"":""2026-02-27 03:46:17"",""UserUUID"":""0d37aae0-0e84-11f1-a71e-770c9a60627d"",""a_attendance_count"":7,""a_user_name"":""써포트"",""a_user_stage"":297,""b.diamond"":112041,""b.ruby"":0,""boxAllCount"":9690,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-20"",""total_payment_amount"":227700,""user_rank"":4242}"
"Order Complete (App)","{""Time"":""2026-02-27 03:46:47"",""UserUUID"":""3e3f6280-a04e-11f0-8057-e96164e29cdc"",""a_attendance_count"":124,""a_user_name"":""귀여운갱이"",""a_user_stage"":649,""b.diamond"":3953,""b.ruby"":0,""boxAllCount"":9340,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-03"",""total_payment_amount"":4400,""user_rank"":1344}"
"Order Complete (App)","{""Time"":""2026-02-27 03:40:07"",""UserUUID"":""810fd430-62bb-11f0-839f-d97137a128f6"",""a_attendance_count"":226,""a_user_name"":""안티왕"",""a_user_stage"":1416,""b.diamond"":852541,""b.ruby"":0,""boxAllCount"":23070,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-17"",""total_payment_amount"":1156100,""user_rank"":40}"
"Order Complete (App)","{""Time"":""2026-02-27 03:31:09"",""UserUUID"":""462c8680-f48b-11f0-94f2-9781757773f5"",""a_attendance_count"":40,""a_user_name"":""다라시온"",""a_user_stage"":1540,""b.diamond"":4250,""b.ruby"":2200,""boxAllCount"":227740,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-18"",""total_payment_amount"":8732900,""user_rank"":12}"
"Order Complete (App)","{""Time"":""2026-02-27 03:18:52"",""UserUUID"":""462c8680-f48b-11f0-94f2-9781757773f5"",""a_attendance_count"":40,""a_user_name"":""다라시온"",""a_user_stage"":1540,""b.diamond"":4150,""b.ruby"":1100,""boxAllCount"":227740,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-18"",""total_payment_amount"":8622900,""user_rank"":12}"
"Order Complete (App)","{""Time"":""2026-02-27 03:14:34"",""UserUUID"":""462c8680-f48b-11f0-94f2-9781757773f5"",""a_attendance_count"":40,""a_user_name"":""다라시온"",""a_user_stage"":1540,""b.diamond"":3650,""b.ruby"":0,""boxAllCount"":227740,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-18"",""total_payment_amount"":8512900,""user_rank"":12}"
"Order Complete (App)","{""Time"":""2026-02-27 03:02:38"",""UserUUID"":""462c8680-f48b-11f0-94f2-9781757773f5"",""a_attendance_count"":40,""a_user_name"":""다라시온"",""a_user_stage"":1540,""b.diamond"":7250,""b.ruby"":2200,""boxAllCount"":227740,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-18"",""total_payment_amount"":8402900,""user_rank"":12}"
"Order Complete (App)","{""Time"":""2026-02-27 02:50:03"",""UserUUID"":""462c8680-f48b-11f0-94f2-9781757773f5"",""a_attendance_count"":40,""a_user_name"":""다라시온"",""a_user_stage"":1540,""b.diamond"":2850,""b.ruby"":0,""boxAllCount"":227740,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-18"",""total_payment_amount"":8292900,""user_rank"":12}"
"Order Complete (App)","{""Time"":""2026-02-27 02:45:12"",""UserUUID"":""462c8680-f48b-11f0-94f2-9781757773f5"",""a_attendance_count"":40,""a_user_name"":""다라시온"",""a_user_stage"":1540,""b.diamond"":26850,""b.ruby"":1100,""boxAllCount"":227740,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-18"",""total_payment_amount"":8237900,""user_rank"":12}"
"Order Complete (App)","{""Time"":""2026-02-27 02:12:53"",""UserUUID"":""462c8680-f48b-11f0-94f2-9781757773f5"",""a_attendance_count"":40,""a_user_name"":""다라시온"",""a_user_stage"":1540,""b.diamond"":6150,""b.ruby"":0,""boxAllCount"":227740,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-18"",""total_payment_amount"":8127900,""user_rank"":12}"
"Order Complete (App)","{""Time"":""2026-02-27 02:04:28"",""UserUUID"":""462c8680-f48b-11f0-94f2-9781757773f5"",""a_attendance_count"":40,""a_user_name"":""다라시온"",""a_user_stage"":1540,""b.diamond"":1750,""b.ruby"":2200,""boxAllCount"":227740,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-18"",""total_payment_amount"":8017900,""user_rank"":12}"
"Order Complete (App)","{""Time"":""2026-02-27 01:26:18"",""UserUUID"":""462c8680-f48b-11f0-94f2-9781757773f5"",""a_attendance_count"":40,""a_user_name"":""다라시온"",""a_user_stage"":1540,""b.diamond"":473050,""b.ruby"":0,""boxAllCount"":227740,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-18"",""total_payment_amount"":7962900,""user_rank"":12}"
"Order Complete (App)","{""Time"":""2026-02-27 01:22:27"",""UserUUID"":""8ba32c00-00c5-11f1-826a-4b0ccb175146"",""a_attendance_count"":25,""a_user_name"":""세난기류표류기"",""a_user_stage"":456,""b.diamond"":69819,""b.ruby"":0,""boxAllCount"":8060,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-03"",""total_payment_amount"":249700,""user_rank"":2508}"
"Order Complete (App)","{""Time"":""2026-02-27 01:19:04"",""UserUUID"":""8ba32c00-00c5-11f1-826a-4b0ccb175146"",""a_attendance_count"":25,""a_user_name"":""세난기류표류기"",""a_user_stage"":456,""b.diamond"":24819,""b.ruby"":9900,""boxAllCount"":8060,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-03"",""total_payment_amount"":249700,""user_rank"":2508}"
"Order Complete (App)","{""Time"":""2026-02-27 01:18:48"",""UserUUID"":""8ba32c00-00c5-11f1-826a-4b0ccb175146"",""a_attendance_count"":25,""a_user_name"":""세난기류표류기"",""a_user_stage"":456,""b.diamond"":24819,""b.ruby"":6600,""boxAllCount"":8060,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-03"",""total_payment_amount"":216700,""user_rank"":2508}"
"Order Complete (App)","{""Time"":""2026-02-27 01:17:33"",""UserUUID"":""8ba32c00-00c5-11f1-826a-4b0ccb175146"",""a_attendance_count"":25,""a_user_name"":""세난기류표류기"",""a_user_stage"":456,""b.diamond"":24819,""b.ruby"":0,""boxAllCount"":8060,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-03"",""total_payment_amount"":150700,""user_rank"":2508}"
"Order Complete (App)","{""Time"":""2026-02-27 01:06:12"",""UserUUID"":""462c8680-f48b-11f0-94f2-9781757773f5"",""a_attendance_count"":40,""a_user_name"":""다라시온"",""a_user_stage"":1540,""b.diamond"":455850,""b.ruby"":0,""boxAllCount"":227740,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-18"",""total_payment_amount"":7929900,""user_rank"":12}"
