순위,UUID,닉네임,점수,
151,d2fca5d0-648b-11f0-9735-dfa72435bf25,루사,267,
151,28e6bf50-61d3-11f0-94d1-0d70694c9e17,난세GPT,267,
155,f1f14840-6384-11f0-a716-97e6f4eb8e7d,일류,266,
155,e7895a50-6438-11f0-a580-6783cb326665,나냐,266,
155,da097440-624a-11f0-a923-e5c378e4162f,여우개,266,
155,d96f7420-637c-11f0-9eda-a741004f5288,올타신영,266,
155,d078b610-6246-11f0-9c23-457fcdeb3714,하룻밤십만원,266,
155,a65c2e60-6530-11f0-a092-cfb4e8946e57,제로나인,266,
155,98074140-6393-11f0-929e-756b01201a20,살아남는자,266,
155,8bf66300-623e-11f0-8e4e-3fc4beb87eac,열전,266,
155,5d7b89a0-630c-11f0-a53e-f720860fcc8a,미역,266,
155,5d5039e0-67ac-11f0-bb8b-c18523618370,놀우,266,
155,1c5661e0-63e1-11f0-80fd-8dc2ba771ecd,박달매,266,
166,f9e90d70-62b8-11f0-b038-1df969c0d9a5,건호최고,265,
166,e88fb1b0-6212-11f0-9ed2-2327c5a1ff14,떼까우,265,
166,d67ac9a0-62d6-11f0-a655-3f20d48333c3,은월랑,265,
166,b2b1de00-66aa-11f0-b13b-29d1f77f9110,길옥,265,
166,9ce1dba0-623d-11f0-8ed7-4f4ea466921e,육도선인,265,
166,4b71d490-6522-11f0-a092-cfb4e8946e57,랑방,265,
166,15f5ff20-62f8-11f0-b4b3-99d44587a070,맘바,265,
166,1141cd60-63de-11f0-981c-6918ebc09e55,유리시로,265,
174,af8b7a30-6298-11f0-ba61-57b32c8fdcaa,김햇반,264,
174,44f4f090-6372-11f0-baf1-611897b49fac,위니랑,264,
174,1e130d10-62d0-11f0-b968-b15002a4efc3,다댕이죠,264,
174,12b046f0-63dd-11f0-b0c8-0be5c747fc57,아가레오,264,
178,99e14dd0-6456-11f0-8f1e-9b9f4436b281,당두두당,263,
178,79ae70d0-6201-11f0-b97d-137135ff0cfe,지비니,263,
178,4a775f70-62e7-11f0-971e-0d9306189309,장일소,263,
178,39f38dd0-62de-11f0-a9e2-bd6cd50a5a78,KKOP,263,
182,be5eca40-63e1-11f0-8ce7-05e1fc9cefd2,민욱,262,
182,a9853b10-6380-11f0-a716-97e6f4eb8e7d,텐프로,262,
182,1e0c1170-643f-11f0-832b-c7e877b24350,무적권,262,
185,ff95a5f0-6464-11f0-b9a2-71a70b35ee88,물긷는아낙네,261,
185,ea66b300-6530-11f0-85dd-2db918fca576,가륜,261,
185,c968c970-620d-11f0-95d2-33c2bc31b4d0,맹맹,261,
185,b0ea06a0-6386-11f0-adf7-d1fabe44ecce,방귀꾼,261,
185,8c7a71a0-6463-11f0-a72c-e970bf999ff4,자료구조,261,
185,5bb40470-63da-11f0-b5a1-97526412eaf0,에릭진,261,
185,4df64e60-6326-11f0-8900-17942e280829,희동삼,261,
185,26917990-6645-11f0-8b69-1d5f20a7acdf,탕유닝,261,
193,c383b080-623d-11f0-9b9e-13c7a7dd6c88,수림,260,
193,b1d74ae0-62d8-11f0-9cbc-05ebba638e55,뿅망키,260,
195,f81d3f80-63a7-11f0-a110-bf1368febfaf,도야수,259,
195,ef4af740-619e-11f0-a1d0-915190c5d2fa,마캔,259,
195,e84a8190-62f2-11f0-971e-0d9306189309,감자맛,259,
195,d8ed47f0-6220-11f0-9813-b7579b20c221,빡뚱,259,
195,983fb180-6242-11f0-9c23-457fcdeb3714,Zaru,259,
195,58354fb0-63b3-11f0-9b10-25f9ca8a7a53,넘어가,259,
195,5807d420-6310-11f0-a53e-f720860fcc8a,그래도살아야지,259,
202,5cdfc1d0-655c-11f0-a13b-c76a133a6513,하야안,258,
203,ebc09320-62be-11f0-b038-1df969c0d9a5,십정동꿀주먹,257,
203,ead66c61-621d-11f0-abc2-914425398299,호잉쓰,257,
203,e722fd20-6224-11f0-9ed2-2327c5a1ff14,데퐁,257,
203,c78f9570-6235-11f0-9d5d-6ba09b4867f9,찌꼬빠빠,257,
203,bce3dae0-61f0-11f0-9346-a503da0bb554,단몽,257,
203,b3d9fe30-63d4-11f0-8ce7-05e1fc9cefd2,도재,257,
203,af702a10-6445-11f0-a451-d9cea4ac416f,헝그리송,257,
203,6233b590-627f-11f0-b831-2509b113c5f4,난세이재명,257,
203,4e8d06b0-6192-11f0-9869-c1c5ed7630de,트리니타스,257,
212,d828b3f0-63d7-11f0-a9da-8b915b889dd4,여름여름,256,
212,cce579c0-62e1-11f0-971e-0d9306189309,떨구,256,
212,b56ad670-631b-11f0-8d40-dfc9f921e722,탄이,256,
212,a5768dd0-63c6-11f0-aab1-5f3bbe175c3e,와니초이,256,
212,98a6c0b0-6192-11f0-9d20-3f0014d1ff67,룽이,256,
212,831e9040-63c9-11f0-a9da-8b915b889dd4,민들레옹,256,
212,7edfb7c0-624d-11f0-92e7-a92a44042649,청명신,256,
212,732fd4e0-63cf-11f0-8f11-17371de17e69,믿음이93,256,
212,658596a0-6617-11f0-98c0-d9f4fe5058f5,세종더그레잇,256,
212,58c36410-63a1-11f0-8ad1-495afdf38cf0,차우우차,256,
212,45ad6f50-636b-11f0-ba6d-31d76c70e10b,얌고,256,
212,3fccca00-6329-11f0-8900-17942e280829,비령,256,
212,3d9ada70-64cc-11f0-998d-6361b2224259,핑또,256,
212,082d4360-64f3-11f0-920f-d9bd8a2a820c,딸봉바라기,256,
226,f22c3b60-62f5-11f0-b7c2-5907d7ac5d60,지냥,255,
227,aa3680a0-6236-11f0-9d5d-6ba09b4867f9,아슈라,254,
227,8c377930-6437-11f0-a580-6783cb326665,상장군홍도,254,
227,2fd3d1b0-652d-11f0-85dd-2db918fca576,규영,254,
230,de4fa1a0-6538-11f0-a7a2-1dbf387388d6,광따,253,
230,cde6fec0-64a3-11f0-829b-d50781ca76af,짝패,253,
230,b861d2f0-62a5-11f0-89a4-c33ecb46901f,쓱이,253,
230,73607c70-63bc-11f0-a7e3-7b406ef3e8c7,표류중,253,
230,08b5ede0-644f-11f0-b750-051f455e1aaf,Gargamel,253,
235,fd751da0-6469-11f0-b9a2-71a70b35ee88,흑사초롱,252,
235,f4ee0cc0-62f0-11f0-971e-0d9306189309,에오메르,252,
235,eb6ceb70-639b-11f0-929e-756b01201a20,25월즈파엠쵸비,252,
235,dfdd10d0-63b6-11f0-aab1-5f3bbe175c3e,추이,252,
235,da3fc850-6480-11f0-8bb8-9d3a036b97f2,여주시하동,252,
