Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description,Promotion ID
GPA.3384-0643-6294-28266,08-Aug-25,6:43:29 AM PDT,,Google fee,,루비 한줌 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_2,e3q,KR,경기도,15534,KRW,-900,1,KRW,-900,,,4.99167E+18,Yes,15,,
GPA.3384-0643-6294-28266,08-Aug-25,6:43:29 AM PDT,Third-party Tax,Tax,,루비 한줌 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_2,e3q,KR,경기도,15534,KRW,600,1,KRW,600,,,4.99167E+18,Yes,,,
GPA.3367-2894-2859-17249,08-Aug-25,6:43:52 AM PDT,,Charge,,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ads_remove,pa2q,KR,,21561,KRW,7000,1,KRW,7000,,,4.99167E+18,Yes,,,
GPA.3367-2894-2859-17249,08-Aug-25,6:43:52 AM PDT,,Google fee,,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ads_remove,pa2q,KR,,21561,KRW,-1050,1,KRW,-1050,,,4.99167E+18,Yes,15,,
GPA.3367-2894-2859-17249,08-Aug-25,6:43:52 AM PDT,Third-party Tax,Tax,,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ads_remove,pa2q,KR,,21561,KRW,700,1,KRW,700,,,4.99167E+18,Yes,,,
GPA.3334-4967-8131-00228,08-Aug-25,6:47:43 AM PDT,,Charge,,루비 자루 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_4,e2s,KR,,41046,KRW,30000,1,KRW,30000,,,4.99167E+18,Yes,,,
GPA.3334-4967-8131-00228,08-Aug-25,6:47:43 AM PDT,,Google fee,,루비 자루 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_4,e2s,KR,,41046,KRW,-4500,1,KRW,-4500,,,4.99167E+18,Yes,15,,
GPA.3334-4967-8131-00228,08-Aug-25,6:47:43 AM PDT,Third-party Tax,Tax,,루비 자루 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_4,e2s,KR,,41046,KRW,3000,1,KRW,3000,,,4.99167E+18,Yes,,,
GPA.3346-5069-6886-22030,08-Aug-25,6:59:43 AM PDT,,Charge,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,e2s,KR,경기도,10126,KRW,10000,1,KRW,10000,,,4.99167E+18,Yes,,,
GPA.3346-5069-6886-22030,08-Aug-25,6:59:43 AM PDT,,Google fee,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,e2s,KR,경기도,10126,KRW,-1500,1,KRW,-1500,,,4.99167E+18,Yes,15,,
GPA.3346-5069-6886-22030,08-Aug-25,6:59:43 AM PDT,Third-party Tax,Tax,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,e2s,KR,경기도,10126,KRW,1000,1,KRW,1000,,,4.99167E+18,Yes,,,
GPA.3376-7516-7916-51514,08-Aug-25,7:02:42 AM PDT,,Charge,,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ads_remove,e2s,KR,경기도,430-030,KRW,7000,1,KRW,7000,,,4.99167E+18,Yes,,,
GPA.3376-7516-7916-51514,08-Aug-25,7:02:42 AM PDT,,Google fee,,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ads_remove,e2s,KR,경기도,430-030,KRW,-1050,1,KRW,-1050,,,4.99167E+18,Yes,15,,
GPA.3376-7516-7916-51514,08-Aug-25,7:02:42 AM PDT,Third-party Tax,Tax,,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ads_remove,e2s,KR,경기도,430-030,KRW,700,1,KRW,700,,,4.99167E+18,Yes,,,
GPA.3358-2710-5532-64060,08-Aug-25,7:07:43 AM PDT,,Charge,,루비 자루 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_4,pa2q,KR,서울특별시,151-821,KRW,30000,1,KRW,30000,,,4.99167E+18,Yes,,,
GPA.3358-2710-5532-64060,08-Aug-25,7:07:43 AM PDT,,Google fee,,루비 자루 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_4,pa2q,KR,서울특별시,151-821,KRW,-4500,1,KRW,-4500,,,4.99167E+18,Yes,15,,
GPA.3358-2710-5532-64060,08-Aug-25,7:07:43 AM PDT,Third-party Tax,Tax,,루비 자루 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_4,pa2q,KR,서울특별시,151-821,KRW,3000,1,KRW,3000,,,4.99167E+18,Yes,,,
GPA.3361-2094-2892-03588,08-Aug-25,7:13:24 AM PDT,,Charge,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,gts7xl,KR,충청북도,360-090,KRW,10000,1,KRW,10000,,,4.99167E+18,Yes,,,
GPA.3361-2094-2892-03588,08-Aug-25,7:13:24 AM PDT,,Google fee,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,gts7xl,KR,충청북도,360-090,KRW,-1500,1,KRW,-1500,,,4.99167E+18,Yes,15,,
GPA.3361-2094-2892-03588,08-Aug-25,7:13:24 AM PDT,Third-party Tax,Tax,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,gts7xl,KR,충청북도,360-090,KRW,1000,1,KRW,1000,,,4.99167E+18,Yes,,,
GPA.3339-3856-2179-67084,08-Aug-25,7:13:50 AM PDT,,Charge,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,dm2q,KR,대구광역시,42921,KRW,10000,1,KRW,10000,,,4.99167E+18,Yes,,,
GPA.3339-3856-2179-67084,08-Aug-25,7:13:50 AM PDT,,Google fee,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,dm2q,KR,대구광역시,42921,KRW,-1500,1,KRW,-1500,,,4.99167E+18,Yes,15,,
GPA.3339-3856-2179-67084,08-Aug-25,7:13:50 AM PDT,Third-party Tax,Tax,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,dm2q,KR,대구광역시,42921,KRW,1000,1,KRW,1000,,,4.99167E+18,Yes,,,
GPA.3377-2547-1723-33995,08-Aug-25,7:14:21 AM PDT,,Charge,,루비 자루 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_4,dm2q,KR,대구광역시,42921,KRW,30000,1,KRW,30000,,,4.99167E+18,Yes,,,
GPA.3377-2547-1723-33995,08-Aug-25,7:14:21 AM PDT,,Google fee,,루비 자루 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_4,dm2q,KR,대구광역시,42921,KRW,-4500,1,KRW,-4500,,,4.99167E+18,Yes,15,,
GPA.3377-2547-1723-33995,08-Aug-25,7:14:21 AM PDT,Third-party Tax,Tax,,루비 자루 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_4,dm2q,KR,대구광역시,42921,KRW,3000,1,KRW,3000,,,4.99167E+18,Yes,,,
GPA.3383-7839-1512-50034,08-Aug-25,7:19:02 AM PDT,,Charge,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,dm3q,KR,,22308,KRW,10000,1,KRW,10000,,,4.99167E+18,Yes,,,
GPA.3383-7839-1512-50034,08-Aug-25,7:19:02 AM PDT,,Google fee,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,dm3q,KR,,22308,KRW,-1500,1,KRW,-1500,,,4.99167E+18,Yes,15,,
GPA.3383-7839-1512-50034,08-Aug-25,7:19:02 AM PDT,Third-party Tax,Tax,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,dm3q,KR,,22308,KRW,1000,1,KRW,1000,,,4.99167E+18,Yes,,,
GPA.3384-1108-5521-97468,08-Aug-25,7:19:34 AM PDT,,Charge,,루비 자루 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_4,dm2q,KR,대구광역시,42921,KRW,30000,1,KRW,30000,,,4.99167E+18,Yes,,,
GPA.3384-1108-5521-97468,08-Aug-25,7:19:34 AM PDT,,Google fee,,루비 자루 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_4,dm2q,KR,대구광역시,42921,KRW,-4500,1,KRW,-4500,,,4.99167E+18,Yes,15,,
GPA.3384-1108-5521-97468,08-Aug-25,7:19:34 AM PDT,Third-party Tax,Tax,,루비 자루 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_4,dm2q,KR,대구광역시,42921,KRW,3000,1,KRW,3000,,,4.99167E+18,Yes,,,
GPA.3303-6910-7435-11945,08-Aug-25,7:22:22 AM PDT,,Charge,,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ads_remove,e2s,KR,경기도,15875,KRW,7000,1,KRW,7000,,,4.99167E+18,Yes,,,
GPA.3303-6910-7435-11945,08-Aug-25,7:22:22 AM PDT,,Google fee,,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ads_remove,e2s,KR,경기도,15875,KRW,-1050,1,KRW,-1050,,,4.99167E+18,Yes,15,,
GPA.3303-6910-7435-11945,08-Aug-25,7:22:22 AM PDT,Third-party Tax,Tax,,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ads_remove,e2s,KR,경기도,15875,KRW,700,1,KRW,700,,,4.99167E+18,Yes,,,
GPA.3365-1813-4377-48476,08-Aug-25,7:22:44 AM PDT,,Charge,,루비 한줌 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_2,c1q,KR,,138-932,KRW,6000,1,KRW,6000,,,4.99167E+18,Yes,,,
