Event Category,,Product ID,Product Price,a_attendance_count,a_user_name,a_user_stage,b.diamond,b.ruby,curserver,iap_platform,install_day,total_payment_amount,user_rank
ItemPurchased (App),,Sudden_Product_Hero2__0,330,5,혼천마,134,385235,330,1,GooglePlay,2025-08-27,58300,6762
ItemPurchased (App),,Preminum_Product__2,1980,3,마살수,214,32678,0,1,GooglePlay,2025-08-29,102300,4658
ItemPurchased (App),,Diamond_Product__3,990,44,졸업앨범을피지마,316,170485,110,1,GooglePlay,2025-07-19,55000,2046
ItemPurchased (App),,Preminum_Product__1,770,1,케파,46,95810,330,1,GooglePlay,2025-08-31,11000,15048
ItemPurchased (App),,(0)_account_Product_2__0,110,13,짱꾸,275,112049,0,1,GooglePlay,2025-08-19,58300,2960
ItemPurchased (App),,(0)_account_Product_1__0,110,13,짱꾸,275,109049,110,1,GooglePlay,2025-08-19,58300,2960
ItemPurchased (App),,(1)_account_Product_2__0,1100,44,졸업앨범을피지마,316,132485,0,1,GooglePlay,2025-07-19,44000,2046
ItemPurchased (App),,Sudden_Product_Hero2__1,550,7,독도지킴이,167,325598,1650,1,GooglePlay,2025-08-25,85800,6068
ItemPurchased (App),,Sudden_Product_Weapon__1,550,7,독도지킴이,167,302598,2200,1,GooglePlay,2025-08-25,85800,6068
ItemPurchased (App),,Sudden_Product_Armor__1,550,7,독도지킴이,167,278598,2750,1,GooglePlay,2025-08-25,85800,6068
ItemPurchased (App),,Sudden_Product_Boost__4,5500,30,소담소민,904,255620,6270,1,GooglePlay,2025-08-01,5940000,5
ItemPurchased (App),,Preminum_Product__4,660,44,쫑쫑이,417,161024,0,1,GooglePlay,2025-07-19,107800,455
ItemPurchased (App),,(0)_account_Product_3__0,110,28,chemma,487,25630,0,1,GooglePlay,2025-08-04,635800,129
ItemPurchased (App),,(0)_account_Product_7__0,110,28,chemma,487,23630,110,1,GooglePlay,2025-08-04,635800,129
ItemPurchased (App),,(0)_account_Product_6__0,110,6,소쩍새,176,41059,0,1,GooglePlay,2025-08-26,58300,5649
ItemPurchased (App),,Diamond_Product__3,990,6,소쩍새,176,41059,110,1,GooglePlay,2025-08-26,58300,5649
ItemPurchased (App),,Sudden_Product_Hero2__1,550,3,얌보,193,92658,0,1,GooglePlay,2025-08-29,77000,5676
ItemPurchased (App),,(0)_account_Product_6__0,110,23,아무뭉,348,18305,0,1,GooglePlay,2025-08-08,213400,1485
ItemPurchased (App),,(0)_account_Product_7__0,110,23,아무뭉,348,18305,110,1,GooglePlay,2025-08-08,213400,1485
