Event Category,,Product ID,Product Price,"{""a_attendance_count""",a_user_name,a_user_stage,b.diamond,b.ruby,curserver,iap_platform,install_day,total_payment_amount,user_rank
Order Complete (App),,ads_remove,7700,1,호조로나이,37,65685,0,1,GooglePlay,2025-08-28,0,18906
Order Complete (App),,ruby_3,11000,25,teamnose,429,1889,110,1,GooglePlay,2025-08-03,672100,255
Order Complete (App),,ads_remove,7700,1,승댕이,4,8000,0,1,GooglePlay,2025-08-28,0,99999999
Order Complete (App),,ruby_4,33000,33,원소,366,1045,0,1,GooglePlay,2025-07-27,20900,1045
Order Complete (App),,ruby_3,11000,1,방구개미,93,2319,0,1,GooglePlay,2025-08-28,7700,13836
Order Complete (App),,ruby_3,11000,17,낭강,432,162143,110,1,GooglePlay,2025-08-12,643500,225
Order Complete (App),,ruby_4,33000,4,j0125,151,99704,0,1,GooglePlay,2025-08-25,62700,5902
Order Complete (App),,ads_remove,7700,1,효치,5,10000,0,1,GooglePlay,2025-08-28,0,99999999
Order Complete (App),,ads_remove,7700,1,주니다,4,8000,0,1,GooglePlay,2025-08-28,0,99999999
Order Complete (App),,ads_remove,7700,1,무핀,53,165282,0,1,GooglePlay,2025-08-28,0,13242
Order Complete (App),,ruby_3,11000,40,막내키키,493,3052,0,1,GooglePlay,2025-07-20,288200,108
Order Complete (App),,ads_remove,7700,1,최지우,6,14000,0,1,GooglePlay,2025-08-28,0,99999999
Order Complete (App),,ads_remove,7700,3,김정환님,49,358365,0,1,GooglePlay,2025-08-26,0,14695
Order Complete (App),,ruby_4,33000,29,꾸이짱,368,3057,220,1,GooglePlay,2025-07-31,95700,971
Order Complete (App),,ruby_2,6600,5,표장창,139,63290,0,1,GooglePlay,2025-08-24,25300,6218
Order Complete (App),,ads_remove,7700,1,나르는곰탱이,21,171615,0,1,GooglePlay,2025-08-28,0,18899
Order Complete (App),,ruby_6,110000,1,샮얅,49,5700,0,1,GooglePlay,2025-08-28,7700,14546
Order Complete (App),,ruby_3,11000,15,설후아빠,327,2143,0,1,GooglePlay,2025-08-14,140800,1759
Order Complete (App),,ads_remove,7700,1,방구개미,9,0,0,1,GooglePlay,2025-08-28,0,99999999
Order Complete (App),,ruby_3,11000,37,주노호노,365,241950,0,1,GooglePlay,2025-07-23,7700,1175
Order Complete (App),,ads_remove,7700,1,핸비,30,186285,0,1,GooglePlay,2025-08-27,0,18036
Order Complete (App),,ruby_2,6600,2,라임보드카,52,56882,0,1,GooglePlay,2025-08-27,7700,13830
Order Complete (App),,ads_remove,7700,1,후추앱,18,112295,0,1,GooglePlay,2025-08-27,0,99999999
Order Complete (App),,ruby_5,55000,8,모래내,262,7768,1100,1,GooglePlay,2025-08-21,139700,3154
Order Complete (App),,ruby_3,11000,1,버몬드,97,2127,0,1,GooglePlay,2025-08-27,11000,8330
Order Complete (App),,ads_remove,7700,28,언제햐,238,70101,0,1,GooglePlay,2025-08-01,0,3860
Order Complete (App),,ads_remove,7700,1,샮얅,9,23000,0,1,GooglePlay,2025-08-28,0,99999999
Order Complete (App),,ads_remove,7700,2,고조선제일검,51,328246,0,1,GooglePlay,2025-08-27,0,15673
Order Complete (App),,ads_remove,7700,1,발상,8,19000,0,1,GooglePlay,2025-08-28,0,99999999
Order Complete (App),,ruby_5,55000,20,자냔민,306,340630,1140,1,GooglePlay,2025-08-07,113300,2091
