"Event Category","Custom Event Properties"
"Order Complete (App)","{""Time"":""2026-03-15 15:42:24"",""UserUUID"":""f9087fe0-2012-11f1-84bc-09cdc7432741"",""a_attendance_count"":1,""a_user_name"":""서아찡"",""a_user_stage"":24,""b.diamond"":62317,""b.ruby"":0,""boxAllCount"":600,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-15"",""total_payment_amount"":0,""user_rank"":17155}"
"Order Complete (App)","{""Time"":""2026-03-15 15:42:01"",""UserUUID"":""32230690-1e71-11f1-a99a-ed166bf920d4"",""a_attendance_count"":3,""a_user_name"":""이잉수"",""a_user_stage"":134,""b.diamond"":301989,""b.ruby"":0,""boxAllCount"":990,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-13"",""total_payment_amount"":29700,""user_rank"":7819}"
"Order Complete (App)","{""Time"":""2026-03-15 15:25:23"",""UserUUID"":""3b5e03d0-f78a-11f0-8cb1-5705e34da755"",""a_attendance_count"":53,""a_user_name"":""고려사람"",""a_user_stage"":449,""b.diamond"":1197,""b.ruby"":0,""boxAllCount"":5080,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-22"",""total_payment_amount"":102300,""user_rank"":2843}"
"Order Complete (App)","{""Time"":""2026-03-15 15:03:36"",""UserUUID"":""25ce2400-1ab7-11f1-a9c1-15df98c235a5"",""a_attendance_count"":5,""a_user_name"":""leeseong"",""a_user_stage"":131,""b.diamond"":308541,""b.ruby"":330,""boxAllCount"":6030,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-08"",""total_payment_amount"":69300,""user_rank"":8362}"
"Order Complete (App)","{""Time"":""2026-03-15 14:56:54"",""UserUUID"":""4ac921b0-112a-11f1-bc0e-0dde8ceb9044"",""a_attendance_count"":20,""a_user_name"":""로열패밀리"",""a_user_stage"":334,""b.diamond"":36912,""b.ruby"":0,""boxAllCount"":6390,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-24"",""total_payment_amount"":47300,""user_rank"":3977}"
"Order Complete (App)","{""Time"":""2026-03-15 14:19:44"",""UserUUID"":""ee5eaf80-1e6c-11f1-9100-6f63db8ef650"",""a_attendance_count"":3,""a_user_name"":""안똘"",""a_user_stage"":190,""b.diamond"":64919,""b.ruby"":6710,""boxAllCount"":3820,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-12"",""total_payment_amount"":179300,""user_rank"":6851}"
"Order Complete (App)","{""Time"":""2026-03-15 14:18:23"",""UserUUID"":""ee5eaf80-1e6c-11f1-9100-6f63db8ef650"",""a_attendance_count"":3,""a_user_name"":""안똘"",""a_user_stage"":190,""b.diamond"":64919,""b.ruby"":6600,""boxAllCount"":3820,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-12"",""total_payment_amount"":178200,""user_rank"":6851}"
"Order Complete (App)","{""Time"":""2026-03-15 14:17:02"",""UserUUID"":""ee5eaf80-1e6c-11f1-9100-6f63db8ef650"",""a_attendance_count"":3,""a_user_name"":""안똘"",""a_user_stage"":190,""b.diamond"":64919,""b.ruby"":5500,""boxAllCount"":3820,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-12"",""total_payment_amount"":167200,""user_rank"":6851}"
"Order Complete (App)","{""Time"":""2026-03-15 14:15:16"",""UserUUID"":""ee5eaf80-1e6c-11f1-9100-6f63db8ef650"",""a_attendance_count"":3,""a_user_name"":""안똘"",""a_user_stage"":190,""b.diamond"":4919,""b.ruby"":0,""boxAllCount"":3820,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-12"",""total_payment_amount"":112200,""user_rank"":6851}"
"Order Complete (App)","{""Time"":""2026-03-15 14:01:24"",""UserUUID"":""e75206c0-0a75-11f1-a426-b7ab9b1c14a8"",""a_attendance_count"":29,""a_user_name"":""수헌1"",""a_user_stage"":425,""b.diamond"":3666,""b.ruby"":0,""boxAllCount"":4820,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-15"",""total_payment_amount"":41800,""user_rank"":3182}"
