순위,UUID,닉네임,점수,추가 항목
237,5d7b89a0-630c-11f0-a53e-f720860fcc8a,미역,288,4
237,5cdfc1d0-655c-11f0-a13b-c76a133a6513,하야안,288,4
237,4a775f70-62e7-11f0-971e-0d9306189309,장일소,288,4
237,4a167630-6515-11f0-8350-2bfe2b1cf2f9,길길길,288,4
237,3b39a430-6514-11f0-846f-13edae8f7606,까페라떼,288,4
237,1e130d10-62d0-11f0-b968-b15002a4efc3,다댕이죠,288,4
237,132d53e0-6395-11f0-8ad1-495afdf38cf0,아밍,288,4
237,08b5ede0-644f-11f0-b750-051f455e1aaf,Gargamel,288,4
258,f997f490-6497-11f0-aedf-55b71a55f5ce,에스카라,287,4
258,f81f3a90-6313-11f0-abe8-09c261bd0e21,왕배,287,4
258,e6061740-622b-11f0-b124-17ce52befe77,9잉,287,4
258,e2a07b40-6271-11f0-bcbb-714564b525f4,puking,287,4
258,cc61edb0-6a3b-11f0-bf1f-adc3992fea58,아루맘,287,4
258,c78892f0-64da-11f0-ad80-bf5616b7c1de,주세요,287,4
258,c37e29c0-6644-11f0-82d4-f9224631a18a,미율,287,4
258,af06df50-6234-11f0-bbfd-8564365ef7ff,사철,287,4
258,98a6c0b0-6192-11f0-9d20-3f0014d1ff67,룽이,287,4
258,98074140-6393-11f0-929e-756b01201a20,살아남는자,287,4
258,8dfa0190-6246-11f0-9ca6-b18ea4730904,뱅섭,287,4
258,8692ed20-6653-11f0-96fa-990fd0c2f326,신우시스템,287,4
258,7ee8fc90-679d-11f0-8dd8-8d061ed0db8c,천상악,287,4
258,7a1be9d0-664d-11f0-8157-83c241bc6c35,서씨옴,287,4
258,73607c70-63bc-11f0-a7e3-7b406ef3e8c7,표류중,287,4
258,732fd4e0-63cf-11f0-8f11-17371de17e69,믿음이93,287,4
258,62be1680-6488-11f0-9155-fd42f9440840,수려니,287,4
258,5ebc34c1-6200-11f0-95cc-ad38c6ec1feb,펜타닐,287,4
258,5c631c70-6417-11f0-bcbf-2b7f0b4e55b1,구독자,287,4
258,45ad6f50-636b-11f0-ba6d-31d76c70e10b,얌고,287,4
258,3fd13ee0-620d-11f0-8954-d1ddcca9d272,엽이,287,4
258,36f0a260-61ff-11f0-95cc-ad38c6ec1feb,위도리,287,4
258,2fd3d1b0-652d-11f0-85dd-2db918fca576,규영,287,4
258,2bcb1160-6482-11f0-995b-75bf8c0a2ec5,부타,287,4
258,1e0c1170-643f-11f0-832b-c7e877b24350,무적권,287,4
258,1c1da790-6442-11f0-80e7-e9e4aa073fe7,재깨비,287,4
258,177a8a20-63e6-11f0-849d-3b3a1fc71a59,김민교,287,4
258,12b046f0-63dd-11f0-b0c8-0be5c747fc57,아가레오,287,4
258,0ae36f20-63f5-11f0-89c3-81bc4ed5aa4e,감녕,287,4
287,fd751da0-6469-11f0-b9a2-71a70b35ee88,흑사초롱,286,4
287,f8daa7c0-6486-11f0-bbfe-0d14bcd852b5,통이,286,4
287,f032d510-64a5-11f0-a845-496ab271568b,미남고릴라,286,4
287,e7135540-66d0-11f0-9c1f-6ff06ada37b6,리둠,286,4
